Campus,StudyField,Branch,Role,EduLevel,ProgLang,Databases,Platform,WebFramework,Industry,AISearch,AITool,Employment
Umhlanga Campus,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript;TypeScript,BigQuery;Elasticsearch;MongoDB;PostgreSQL,Amazon Web Services (AWS);Firebase;Heroku;Netlify;Vercel,Express;Gatsby;NestJS;Next.js;Node.js;React,"Information Services, IT, Software Development, or other Technology",ChatGPT,GitHub Copilot;Synk Code;Tabnine;Whispr AI,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Umhlanga Campus,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Cloud Firestore;MongoDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Firebase;Google Cloud;Heroku;Netlify;Vercel,Angular;Express;NestJS;React,Healthcare,Bing AI;ChatGPT,AWS CodeWhisperer;Codeium;Tabnine,"Not employed, but looking for work"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;JavaScript;Kotlin;PowerShell;Python;SQL;TypeScript,Cosmos DB;Microsoft SQL Server;MySQL;Redis,Digital Ocean;Microsoft Azure;Netlify,ASP.NET CORE;Node.js;Vue.js,"Information Services, IT, Software Development, or other Technology",ChatGPT,Codeium;GitHub Copilot;Synk Code,"Employed, full-time"
Pretoria Campus,Computer Science,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Dart;Go;Haskell;HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL;TypeScript,Cassandra;Dynamodb;Elasticsearch;H2;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Microsoft Azure,Angular;Express;Spring Boot,Insurance,ChatGPT,Tabnine;Whispr AI,"Employed, full-time"
Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript;PHP;Ruby;TypeScript,MySQL,Amazon Web Services (AWS);Cloudflare;Netlify,Laravel;Next.js;React;Ruby on Rails,Advertising Services,ChatGPT,AWS CodeWhisperer;GitHub Copilot;Synk Code,"Employed, full-time"
Tyger Valley Campus,Computer Science,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Clojure;PHP,MariaDB;SQLite;Supabase,Unknown,Unknown,Other,Unknown,AWS CodeWhisperer;Codeium;GitHub Copilot;Synk Code;Tabnine,"Employed, full-time"
Pretoria Campus,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;R;Scala;SQL;TypeScript,Oracle;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Digital Ocean;Microsoft Azure,Django;FastAPI;Flask;jQuery;Node.js;Vue.js;WordPress,Legal Services,ChatGPT;WolframAlpha,Adrenaline;GitHub Copilot;Rubber Duck.AI;Tabnine,"Employed, full-time"
Umhlanga Campus,IT,I am a developer by profession,"Developer, back-end","Associate degree (A.A., A.S., etc.)",Elixir;Go;Java;JavaScript;PHP;Ruby,MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure;VMware,jQuery;Node.js;Spring Boot;WordPress,Wholesale,ChatGPT,Codeium;GitHub Copilot;Synk Code,"Employed, full-time"
Pretoria Campus,IT,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Security professional,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Go;JavaScript;Python,SQLite,Amazon Web Services (AWS),Unknown,Legal Services,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify,"Employed, full-time"
Midrand Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,PostgreSQL,Amazon Web Services (AWS);Cloudflare;Google Cloud;Netlify,Next.js;Node.js;React;Vue.js,Retail and Consumer Services,Unknown,AWS CodeWhisperer,"Employed, full-time"
Umhlanga Campus,IT,I am a developer by profession,"Developer, back-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Java;JavaScript;Lua;Python;SQL;TypeScript,Cassandra;H2;MariaDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Heroku;Hetzner,AngularJS;Node.js;Spring Boot,Oil & Gas,ChatGPT,Adrenaline;Tabnine,"Employed, full-time"
Umhlanga Campus,Data Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;PHP;SQL,BigQuery;MariaDB;MongoDB;MySQL,Cloudflare;Google Cloud,Unknown,Oil & Gas,ChatGPT,GitHub Copilot;Replit Ghostwriter;Whispr AI,"Employed, full-time"
Umhlanga Campus,Data Science,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,C#;HTML/CSS;JavaScript;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;SQLite,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Blazor;jQuery,Financial Services,ChatGPT;Google Bard AI,Rubber Duck.AI,"Employed, full-time"
Umhlanga Campus,IT,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;Java;JavaScript;Kotlin;PowerShell;Python;TypeScript,MariaDB;MySQL;Redis,Digital Ocean;Microsoft Azure,ASP.NET CORE;Flask;Next.js;React,Insurance,Unknown,AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine,"Employed, full-time"
Pretoria Campus,Data Science,I am a developer by profession,Research & Development role,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;C++;Python,Unknown,Google Cloud,Unknown,Retail and Consumer Services,ChatGPT;WolframAlpha;You.com,Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Umhlanga Campus,Computer Science,I am a developer by profession,"Developer, front-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",HTML/CSS;JavaScript;PHP;TypeScript,MySQL;Supabase,Netlify;Vercel,jQuery;Node.js;Nuxt.js;React;Vue.js;WordPress,Oil & Gas,ChatGPT,Codeium;GitHub Copilot,"Employed, full-time"
Midrand Campus,Data Science,I am learning to code,Unknown,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,MongoDB;MySQL,Firebase;Google Cloud;Microsoft Azure;Netlify;Vercel;VMware,Angular;AngularJS;Blazor;Express;Next.js;Node.js;Remix;Svelte;Vue.js;WordPress,"Information Services, IT, Software Development, or other Technology",ChatGPT,GitHub Copilot;Rubber Duck.AI,"Student, full-time"
